Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
242,Quinten Post,25,GSW,PF,28,14,18.5,2.9,6.8,0.424,1.6,4.5,0.346,1.3,2.3,0.578,0.539,0.5,0.6,0.778,1,3.2,4.3,1.5,0.6,0.6,0.8,2,7.9,,postqu01
243,Zach Collins,28,CHI,C,5,0,17.4,2.8,5.6,0.5,0.8,2.4,0.333,2,3.2,0.625,0.571,1.4,2,0.7,1.6,3.2,4.8,1.2,0.4,0.4,0.8,1.6,7.8,,colliza01
244,Jordan Miller,26,LAC,SF,6,0,16.2,2.2,5,0.433,1,2.5,0.4,1.2,2.5,0.467,0.533,2.5,3,0.833,1.5,2,3.5,1.5,0.3,0.2,1.5,0.7,7.8,,millejo02
245,Precious Achiuwa,26,SAC,C,20,7,20,3.3,6,0.555,0.2,0.8,0.25,3.1,5.2,0.602,0.571,0.9,1.9,0.459,1.9,3.6,5.5,1,0.7,0.5,0.5,1.7,7.7,,achiupr01
246,Isaiah Jackson,24,IND,C,27,14,19.1,3,5.1,0.594,0,0,,3,5.1,0.594,0.594,1.6,2.1,0.759,2.6,3.6,6.1,0.9,0.8,0.8,1.1,3.1,7.7,,jacksis01
247,Jordan Walsh,21,BOS,PF,22,14,21.3,2.9,4.8,0.604,0.9,1.9,0.488,2,3,0.677,0.698,1,1.1,0.84,1.7,3.3,5,1,1.3,0.5,0.6,3,7.7,,walshjo01
248,Kentavious Caldwell-Pope,32,MEM,SG,27,13,22,2.6,6.8,0.375,1.1,3.4,0.337,1.4,3.4,0.413,0.459,1.4,1.5,0.925,0.4,2,2.4,3.3,0.8,0.2,1.3,1,7.6,,caldwke01
249,De'Anthony Melton,27,GSW,PG,5,0,18.4,2.4,7.4,0.324,0.6,3.6,0.167,1.8,3.8,0.474,0.365,2.2,2.8,0.786,0.2,0.8,1,1.6,1.8,0.4,1.6,2.2,7.6,,meltode01
250,Luguentz Dort,26,OKC,SF,18,18,27.7,2.6,7.3,0.359,1.6,5.2,0.298,1.1,2.1,0.514,0.466,0.7,0.8,0.929,1.1,2.6,3.7,1.2,0.8,0.4,0.6,2.9,7.5,,dortlu01
251,Luke Kornet,30,SAS,C,18,13,25.3,2.8,4.4,0.625,0,0,,2.8,4.4,0.625,0.625,1.9,2.4,0.814,2.8,3.4,6.3,2.2,0.3,1.4,0.6,2,7.5,,kornelu01
252,Pat Spencer,29,GSW,PG,19,3,15.9,2.8,6.3,0.454,0.7,1.8,0.412,2.1,4.5,0.471,0.513,0.9,1.1,0.9,0.7,1.7,2.4,3.2,0.7,0.1,0.9,1.4,7.4,,spencpa01
253,Patrick Williams,24,CHI,PF,25,1,20.8,2.5,6.5,0.387,1.5,3.6,0.411,1,2.9,0.356,0.5,0.8,1.3,0.636,0.8,2.4,3.2,1.2,0.9,0.3,1,1.6,7.4,,willipa01
254,Vince Williams Jr.,25,MEM,PG,22,11,21.9,2.5,7.5,0.337,1.2,4.3,0.277,1.4,3.3,0.417,0.416,1.1,1.4,0.8,0.8,3.4,4.2,4.9,0.8,0.5,2.1,2.1,7.4,,willivi01
255,Andre Drummond,32,PHI,C,24,11,21.4,2.9,5.5,0.53,0.5,1.3,0.367,2.5,4.3,0.578,0.572,1,1.5,0.622,3.4,6,9.4,0.9,0.7,1,0.8,2.1,7.3,,drumman01
256,Jamaree Bouyea,26,PHO,PG,11,0,14.2,2.8,4.6,0.608,1.1,1.9,0.571,1.7,2.7,0.633,0.725,0.5,0.5,0.833,0.3,1.2,1.5,1.6,0.6,0.4,0.3,0.7,7.2,,bouyeja01
257,Ryan Dunn,23,PHO,SF,22,11,22.6,3,6.5,0.458,0.8,2.6,0.293,2.2,3.8,0.571,0.518,0.5,0.8,0.667,1.8,3,4.8,1.9,1.3,0.6,1,2.5,7.2,,dunnry01
258,Nikola Jović,22,MIA,PF,19,1,18.3,2.4,6.2,0.39,0.9,3.2,0.283,1.5,3.1,0.5,0.462,1.5,2.1,0.718,0.6,2.9,3.5,2.6,0.5,0.4,1.8,2.1,7.2,,jovicni01
259,Luke Kennard,29,ATL,SG,25,0,20.2,2.4,5.1,0.472,1.4,3.2,0.43,1,1.9,0.542,0.606,0.9,1,0.92,0.5,1.4,1.9,2.3,0.8,0,1,1.2,7.1,,kennalu01
260,Josh Okogie,27,HOU,SG,24,18,21.5,2.5,5.2,0.472,1.1,2.6,0.413,1.4,2.6,0.532,0.576,1.1,1.5,0.73,1.5,1.5,3,1,1.3,0.2,0.9,1.9,7.1,,okogijo01
261,Seth Curry,35,GSW,SG,2,0,16,3,4.5,0.667,1,2,0.5,2,2.5,0.8,0.778,0,0,,0.5,1.5,2,1.5,1,0,0,1.5,7,,curryse01
262,Josh Minott,23,BOS,PF,25,9,19,2.5,5,0.504,1.2,2.8,0.443,1.3,2.2,0.582,0.628,0.7,1,0.75,1.5,2.9,4.4,1.3,0.8,0.4,0.6,1.8,7,,minotjo01
263,Day'Ron Sharpe,24,BRK,C,25,0,16,2.6,4.3,0.593,0.2,0.8,0.25,2.4,3.5,0.67,0.616,1.6,2.6,0.631,2.1,3.4,5.5,2,0.9,0.5,1.7,2.1,7,,sharpda01
264,Nick Smith Jr.,21,LAL,SG,10,0,13.9,2.6,5.8,0.448,1.4,3.1,0.452,1.2,2.7,0.444,0.569,0.4,0.6,0.667,0.1,0.9,1,1.4,0.7,0.2,1.1,0.6,7,,smithni01
265,Cole Anthony,25,MIL,PG,25,0,16,2.9,6.9,0.424,0.6,2,0.275,2.4,4.8,0.488,0.465,0.5,0.9,0.591,0.4,2.3,2.7,4,0.7,0.3,2,2.3,6.9,,anthoco01
266,Jevon Carter,30,CHI,PG,14,0,14.3,2.2,5.4,0.408,1.7,4.1,0.421,0.5,1.4,0.368,0.566,0.7,0.7,1,0.4,1.1,1.4,1.2,0.8,0,0.6,1.1,6.9,,carteje01
267,Sion James,23,CHO,SG,27,14,26.3,2.2,5.3,0.413,1.3,3.3,0.378,0.9,2,0.472,0.531,1.3,1.5,0.85,0.4,2.8,3.2,1.5,0.7,0.4,0.9,1.7,6.9,,jamessi01
268,Jared McCain,21,PHI,SG,16,0,17.8,2.6,7.3,0.362,1.3,3.9,0.339,1.3,3.4,0.389,0.453,0.3,0.4,0.833,0.1,1.8,1.9,1.8,0.9,0,0.8,1.4,6.9,,mccaija01
269,Tristan Vukcevic,22,WAS,C,22,1,11.7,2.3,4.9,0.467,0.4,1.9,0.214,1.9,3,0.631,0.509,1.9,2.3,0.804,0.5,1.9,2.4,1,0.3,0.5,1.1,1.4,6.8,,vukcetr01
270,Kyle Anderson,32,UTA,SF,9,0,17.9,2.7,5.4,0.49,0.1,0.1,1,2.6,5.3,0.479,0.5,1.2,1.7,0.733,0.8,1.8,2.6,3.1,1.4,0.3,1,2.6,6.7,,anderky01
271,Bruce Brown,29,DEN,SG,26,1,24.2,2.5,6,0.423,0.5,1.7,0.326,2,4.3,0.46,0.468,1.1,1.4,0.806,1,2.8,3.8,2.1,0.9,0.2,1,2.3,6.7,,brownbr01
272,Collin Murray-Boyles,20,TOR,PF,23,4,17.5,2.7,4.7,0.565,0.5,1.1,0.462,2.1,3.6,0.598,0.62,0.9,1.4,0.625,1.6,1.7,3.3,1.3,0.7,0.3,1.1,2.4,6.7,,murraco01
273,Javonte Green,32,DET,SG,27,3,18.4,2.2,5.2,0.429,0.9,2.7,0.333,1.3,2.5,0.529,0.514,1.3,1.6,0.773,0.7,2,2.7,0.9,1.2,0.4,0.7,1.5,6.6,,greenja02
274,Sam Hauser,28,BOS,PF,26,4,21.6,2.3,6.6,0.343,2,5.8,0.34,0.3,0.8,0.364,0.491,0.1,0.2,0.75,0.7,2.7,3.4,1.3,0.6,0.3,0.5,1.2,6.6,,hausesa01
275,Tidjane Salaün,20,CHO,PF,14,0,14.9,2.2,4.1,0.534,1.2,2.5,0.486,1,1.6,0.609,0.681,0.9,1.4,0.684,0.6,3,3.6,0.9,0.5,0.2,0.6,1.5,6.6,,salauti01
276,Ben Sheppard,24,IND,SG,22,11,25,2.4,6.7,0.354,1.1,4,0.273,1.3,2.7,0.475,0.435,0.7,0.9,0.789,0.8,3.3,4.1,2,0.6,0.1,0.7,2,6.5,,sheppbe01
277,Nae'Qwan Tomlin,25,CLE,PF,19,2,16,2.5,5.2,0.485,0.4,1.8,0.2,2.2,3.4,0.641,0.52,1.1,1.6,0.7,1.6,1.6,3.3,0.6,0.8,0.7,0.4,2.3,6.5,,tomlina01
278,Walter Clayton,22,UTA,PG,22,0,16.5,2.2,5.2,0.43,0.8,2.7,0.305,1.4,2.5,0.564,0.509,1.1,1.1,0.96,0.5,1.7,2.2,3.4,0.5,0.2,1.4,2,6.4,,claytwa01
279,Gradey Dick,22,TOR,SG,28,0,15.8,2.1,5.3,0.405,1,2.9,0.329,1.2,2.4,0.5,0.497,1.1,1.4,0.821,0.4,1.5,1.9,0.6,0.6,0.1,0.5,1.2,6.4,,dickgr01
280,Kevin Love,37,UTA,PF,16,0,15.1,2.1,4.9,0.423,1.3,3.6,0.345,0.8,1.3,0.65,0.551,1,1.3,0.762,1.3,3.1,4.4,1.7,0.3,0.3,0.7,1.8,6.4,,loveke01
