Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,SourceTable,Trp-Dbl,Awards
5.0,Alperen ÅengÃ¼n,21.0,63,63,2046,527,982,0.537,33,111,0.297,494,871,0.567,0.553,244,352,0.693,183,406,589,312,76,46,162,211,1331,Houston Rockets,totals,2,
6.0,Amen Thompson,21.0,62,23,1388,239,446,0.536,8,58,0.138,231,388,0.595,0.545,106,155,0.684,148,261,409,163,78,38,90,141,592,Houston Rockets,totals,1,
7.0,Jeff Green,37.0,78,6,1307,167,366,0.456,53,160,0.331,114,206,0.553,0.529,122,149,0.819,46,132,178,70,16,31,46,100,509,Houston Rockets,totals,0,
8.0,Aaron Holiday,27.0,78,1,1269,186,417,0.446,84,217,0.387,102,200,0.51,0.547,58,63,0.921,23,100,123,140,42,6,53,125,514,Houston Rockets,totals,0,
9.0,Jae'Sean Tate,28.0,65,9,1031,108,229,0.472,23,77,0.299,85,152,0.559,0.522,26,39,0.667,61,136,197,64,42,15,37,137,265,Houston Rockets,totals,0,
10.0,Cam Whitmore,19.0,47,2,880,212,467,0.454,79,220,0.359,133,247,0.538,0.539,76,112,0.679,44,136,180,33,30,17,46,64,579,Houston Rockets,totals,0,
11.0,Jock Landale,28.0,56,3,763,106,206,0.515,10,40,0.25,96,166,0.578,0.539,52,65,0.8,88,84,172,65,20,33,31,74,274,Houston Rockets,totals,0,
12.0,Tari Eason,22.0,22,0,480,88,189,0.466,18,50,0.36,70,139,0.504,0.513,21,33,0.636,46,107,153,27,31,19,20,51,215,Houston Rockets,totals,0,
13.0,Reggie Bullock,32.0,44,0,417,34,82,0.415,27,67,0.403,7,15,0.467,0.579,1,1,1.0,6,67,73,15,12,5,10,29,96,Houston Rockets,totals,0,
14.0,Jeenathan Williams,24.0,22,0,129,27,50,0.54,2,5,0.4,25,45,0.556,0.56,7,13,0.538,12,11,23,7,4,1,4,10,63,Houston Rockets,totals,0,
15.0,Nate Hinton,24.0,15,0,75,11,26,0.423,7,14,0.5,4,12,0.333,0.558,4,5,0.8,7,15,22,10,3,2,3,11,33,Houston Rockets,totals,0,
16.0,Boban MarjanoviÄ,35.0,14,0,71,18,34,0.529,0,2,0.0,18,32,0.563,0.529,9,14,0.643,7,25,32,6,1,2,5,5,45,Houston Rockets,totals,0,
17.0,Jermaine Samuels,25.0,14,0,60,9,14,0.643,0,2,0.0,9,12,0.75,0.643,2,2,1.0,3,10,13,3,1,2,0,5,20,Houston Rockets,totals,0,
,Team Totals,,82,82,19852,3425,7459,0.459,1043,2964,0.352,2382,4495,0.53,0.529,1482,1916,0.773,940,2787,3727,2035,639,375,1001,1702,9375,Houston Rockets,totals,4,
1.0,Collin Sexton,25.0,78,51,2075,506,1038,0.487,128,325,0.394,378,713,0.53,0.549,318,370,0.859,71,134,205,383,62,18,165,154,1458,Utah Jazz,totals,0,
2.0,Keyonte George,20.0,75,44,2023,319,815,0.391,147,440,0.334,172,375,0.459,0.482,189,223,0.848,15,196,211,332,36,7,188,91,974,Utah Jazz,totals,0,
3.0,John Collins,26.0,68,66,1901,397,746,0.532,86,232,0.371,311,514,0.605,0.59,147,185,0.795,157,418,575,77,40,61,98,191,1027,Utah Jazz,totals,0,
4.0,Lauri Markkanen,26.0,55,55,1820,427,890,0.48,175,439,0.399,252,451,0.559,0.578,249,277,0.899,122,327,449,110,50,26,77,100,1278,Utah Jazz,totals,0,
5.0,Jordan Clarkson,31.0,55,19,1682,337,816,0.413,91,309,0.294,246,507,0.485,0.469,177,201,0.881,49,139,188,277,35,6,146,81,942,Utah Jazz,totals,1,
6.0,Walker Kessler,22.0,64,22,1493,229,350,0.654,4,19,0.211,225,331,0.68,0.66,56,93,0.602,165,316,481,60,30,154,66,132,518,Utah Jazz,totals,0,
7.0,Kris Dunn,29.0,66,32,1249,147,313,0.47,41,111,0.369,106,202,0.525,0.535,22,32,0.688,50,139,189,254,68,28,79,135,357,Utah Jazz,totals,0,
8.0,Simone Fontecchio,28.0,50,34,1160,161,358,0.45,91,233,0.391,70,125,0.56,0.577,32,40,0.8,52,124,176,73,30,18,51,81,445,Utah Jazz,totals,0,
9.0,Kelly Olynyk,32.0,50,8,1019,145,258,0.562,36,84,0.429,109,174,0.626,0.632,80,95,0.842,63,191,254,219,37,12,81,132,406,Utah Jazz,totals,0,
10.0,Talen Horton-Tucker,23.0,51,11,1009,184,465,0.396,60,182,0.33,124,283,0.438,0.46,88,109,0.807,21,100,121,177,45,19,65,94,516,Utah Jazz,totals,0,
11.0,Ochai Agbaji,23.0,51,10,1003,106,249,0.426,47,142,0.331,59,107,0.551,0.52,15,20,0.75,35,91,126,47,27,29,34,66,274,Utah Jazz,totals,0,
12.0,Taylor Hendricks,20.0,40,23,856,108,240,0.45,53,140,0.379,55,100,0.55,0.56,23,29,0.793,46,139,185,32,28,30,27,77,292,Utah Jazz,totals,0,
13.0,Brice Sensabaugh,20.0,32,11,584,85,218,0.39,34,115,0.296,51,103,0.495,0.468,37,41,0.902,16,86,102,55,13,6,47,43,241,Utah Jazz,totals,0,
14.0,Omer Yurtseven,25.0,48,12,545,99,184,0.538,5,24,0.208,94,160,0.588,0.552,19,28,0.679,72,136,208,29,8,18,37,52,222,Utah Jazz,totals,0,
15.0,Luka Å amaniÄ,24.0,43,7,404,60,158,0.38,13,64,0.203,47,94,0.5,0.421,44,56,0.786,22,80,102,19,5,7,28,32,177,Utah Jazz,totals,0,
